symbol,name,sector,exchange
AZAD,Azad Engineering Limited,NSE Equity,NS
BAFNAPH,Bafna Pharmaceuticals Limited,NSE Equity,NS
BAGFILMS,B.A.G Films and Media Limited,NSE Equity,NS
BAIDFIN,Baid Finserv Limited,NSE Equity,NS
BAJAJ-AUTO,Bajaj Auto Limited,NSE Equity,NS
BAJAJCON,Bajaj Consumer Care Limited,NSE Equity,NS
BAJAJELEC,Bajaj Electricals Limited,NSE Equity,NS
BAJAJFINSV,Bajaj Finserv Limited,NSE Equity,NS
BAJAJHCARE,Bajaj Healthcare Limited,NSE Equity,NS
BAJAJHFL,Bajaj Housing Finance Limited,NSE Equity,NS
BAJAJHIND,Bajaj Hindusthan Sugar Limited,NSE Equity,NS
BAJAJHLDNG,Bajaj Holdings & Investment Limited,NSE Equity,NS
BAJAJINDEF,Indef Manufacturing Limited,NSE Equity,NS
BAJEL,Bajel Projects Limited,NSE Equity,NS
BAJFINANCE,Bajaj Finance Limited,NSE Equity,NS
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,NSE Equity,NS
BALAJITELE,Balaji Telefilms Limited,NSE Equity,NS
BALAMINES,Balaji Amines Limited,NSE Equity,NS
BALAXI,BALAXI PHARMACEUTICALS LIMITED,NSE Equity,NS
BALKRISHNA,Balkrishna Paper Mills Limited,NSE Equity,NS
BALKRISIND,Balkrishna Industries Limited,NSE Equity,NS
BALMLAWRIE,Balmer Lawrie & Company Limited,NSE Equity,NS
BALPHARMA,Bal Pharma Limited,NSE Equity,NS
BALRAMCHIN,Balrampur Chini Mills Limited,NSE Equity,NS
BALUFORGE,Balu Forge Industries Limited,NSE Equity,NS
BANARBEADS,Banaras Beads Limited,NSE Equity,NS
BANARISUG,Bannari Amman Sugars Limited,NSE Equity,NS
BANCOINDIA,Banco Products (I) Limited,NSE Equity,NS
BANDHANBNK,Bandhan Bank Limited,NSE Equity,NS
BANG,Bang Overseas Limited,NSE Equity,NS
BANKA,Banka BioLoo Limited,NSE Equity,NS
BANKBARODA,Bank of Baroda,NSE Equity,NS
BANKINDIA,Bank of India,NSE Equity,NS
BANSALWIRE,Bansal Wire Industries Limited,NSE Equity,NS
BANSWRAS,Banswara Syntex Limited,NSE Equity,NS
BASF,BASF India Limited,NSE Equity,NS
BASML,Bannari Amman Spinning Mills Limited,NSE Equity,NS
BATAINDIA,Bata India Limited,NSE Equity,NS
BAYERCROP,Bayer Cropscience Limited,NSE Equity,NS
BBL,Bharat Bijlee Limited,NSE Equity,NS
BBOX,Black Box Limited,NSE Equity,NS
BBTC,Bombay Burmah Trading Corporation Limited,NSE Equity,NS
BBTCL,B&B Triplewall Containers Limited,NSE Equity,NS
BCG,Brightcom Group Limited,NSE Equity,NS
BCLIND,Bcl Industries Limited,NSE Equity,NS
BCONCEPTS,Brand Concepts Limited,NSE Equity,NS
BDL,Bharat Dynamics Limited,NSE Equity,NS
BEARDSELL,Beardsell Limited,NSE Equity,NS
BECTORFOOD,Mrs. Bectors Food Specialities Limited,NSE Equity,NS
BEDMUTHA,Bedmutha Industries Limited,NSE Equity,NS
BEL,Bharat Electronics Limited,NSE Equity,NS
BELLACASA,Bella Casa Fashion & Retail Limited,NSE Equity,NS
BELRISE,Belrise Industries Limited,NSE Equity,NS
BEML,BEML Limited,NSE Equity,NS
BEPL,Bhansali Engineering Polymers Limited,NSE Equity,NS
BERGEPAINT,Berger Paints (I) Limited,NSE Equity,NS
BESTAGRO,Best Agrolife Limited,NSE Equity,NS
BETA,Beta Drugs Limited,NSE Equity,NS
BFINVEST,BF Investment Limited,NSE Equity,NS
BFUTILITIE,BF Utilities Limited,NSE Equity,NS
BGLOBAL,Bharatiya Global Infomedia Limited,NSE Equity,NS
BGRENERGY,BGR Energy Systems Limited,NSE Equity,NS
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,NSE Equity,NS
BHAGERIA,Bhageria Industries Limited,NSE Equity,NS
BHAGYANGR,Bhagyanagar India Limited,NSE Equity,NS
BHANDARI,Bhandari Hosiery Exports Limited,NSE Equity,NS
BHARATFORG,Bharat Forge Limited,NSE Equity,NS
BHARATGEAR,Bharat Gears Limited,NSE Equity,NS
BHARATRAS,Bharat Rasayan Limited,NSE Equity,NS
BHARATSE,Bharat Seats Limited,NSE Equity,NS
BHARATWIRE,Bharat Wire Ropes Limited,NSE Equity,NS
BHARTIARTL,Bharti Airtel Limited,NSE Equity,NS
BHARTIHEXA,Bharti Hexacom Limited,NSE Equity,NS
BHEL,Bharat Heavy Electricals Limited,NSE Equity,NS
BIGBLOC,Bigbloc Construction Limited,NSE Equity,NS
BIKAJI,Bikaji Foods International Limited,NSE Equity,NS
BIL,Bhartiya International Limited,NSE Equity,NS
BILVYAPAR,BIL VYAPAR LIMITED,NSE Equity,NS
BIOCON,Biocon Limited,NSE Equity,NS
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,NSE Equity,NS
BIRLACABLE,Birla Cable Limited,NSE Equity,NS
BIRLACORPN,Birla Corporation Limited,NSE Equity,NS
BIRLAMONEY,Aditya Birla Money Limited,NSE Equity,NS
BIRLANU,BirlaNu Limited,NSE Equity,NS
BLACKBUCK,BLACKBUCK LIMITED,NSE Equity,NS
BLAL,BEML Land Assets Limited,NSE Equity,NS
BLBLIMITED,BLB Limited,NSE Equity,NS
BLISSGVS,Bliss GVS Pharma Limited,NSE Equity,NS
BLKASHYAP,B. L. Kashyap and Sons Limited,NSE Equity,NS
BLS,BLS International Services Limited,NSE Equity,NS
BLSE,BLS E-Services Limited,NSE Equity,NS
BLUECHIP,Blue Chip India Limited,NSE Equity,NS
BLUECOAST,Blue Coast Hotels Limited,NSE Equity,NS
BLUEDART,Blue Dart Express Limited,NSE Equity,NS
BLUEJET,Blue Jet Healthcare Limited,NSE Equity,NS
BLUESTARCO,Blue Star Limited,NSE Equity,NS
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,NSE Equity,NS
BLUSPRING,Bluspring Enterprises Limited,NSE Equity,NS
BMWVENTLTD,BMW Ventures Limited,NSE Equity,NS
BODALCHEM,Bodal Chemicals Limited,NSE Equity,NS
BOHRAIND,Bohra Industries Limited,NSE Equity,NS
BOMDYEING,Bombay Dyeing & Mfg Company Limited,NSE Equity,NS
BORANA,Borana Weaves Limited,NSE Equity,NS
BOROLTD,Borosil Limited,NSE Equity,NS
BORORENEW,BOROSIL RENEWABLES LIMITED,NSE Equity,NS
BOROSCI,Borosil Scientific Limited,NSE Equity,NS
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,NSE Equity,NS
BOSCHLTD,Bosch Limited,NSE Equity,NS
BPCL,Bharat Petroleum Corporation Limited,NSE Equity,NS
BPL,BPL Limited,NSE Equity,NS
BRIGADE,Brigade Enterprises Limited,NSE Equity,NS
BRIGHOTEL,Brigade Hotel Ventures Limited,NSE Equity,NS
BRITANNIA,Britannia Industries Limited,NSE Equity,NS
BRNL,Bharat Road Network Limited,NSE Equity,NS
BROOKS,Brooks Laboratories Limited,NSE Equity,NS
BSE,BSE Limited,NSE Equity,NS
BSHSL,Bombay Super Hybrid Seeds Limited,NSE Equity,NS
BSL,BSL Limited,NSE Equity,NS
BSOFT,BIRLASOFT LIMITED,NSE Equity,NS
BTML,Bodhi Tree Multimedia Limited,NSE Equity,NS
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,NSE Equity,NS
BVCL,Barak Valley Cements Limited,NSE Equity,NS
BYKE,The Byke Hospitality Ltd,NSE Equity,NS
CALSOFT,California Software Company Limited,NSE Equity,NS
CAMLINFINE,Camlin Fine Sciences Limited,NSE Equity,NS
CAMPUS,Campus Activewear Limited,NSE Equity,NS
CAMS,Computer Age Management Services Limited,NSE Equity,NS
CANBK,Canara Bank,NSE Equity,NS
CANFINHOME,Can Fin Homes Limited,NSE Equity,NS
CANHLIFE,Canara HSBC Life Insurance Company Limited,NSE Equity,NS
CANTABIL,Cantabil Retail India Limited,NSE Equity,NS
CAPACITE,Capacit'e Infraprojects Limited,NSE Equity,NS
CAPILLARY,Capillary Technologies India Limited,NSE Equity,NS
CAPITALSFB,Capital Small Finance Bank Limited,NSE Equity,NS
CAPLIPOINT,Caplin Point Laboratories Limited,NSE Equity,NS
CAPTRUST,Capital Trust Limited,NSE Equity,NS
CARBORUNIV,Carborundum Universal Limited,NSE Equity,NS
CARERATING,CARE Ratings Limited,NSE Equity,NS
CARRARO,Carraro India Limited,NSE Equity,NS
CARTRADE,Cartrade Tech Limited,NSE Equity,NS
CARYSIL,CARYSIL LIMITED,NSE Equity,NS
CASTROLIND,Castrol India Limited,NSE Equity,NS
CCCL,Consolidated Construction Consortium Limited,NSE Equity,NS
CCHHL,Country Club Hospitality & Holidays Limited,NSE Equity,NS
CCL,CCL Products (India) Limited,NSE Equity,NS
CDSL,Central Depository Services (India) Limited,NSE Equity,NS
CEATLTD,CEAT Limited,NSE Equity,NS
CEIGALL,Ceigall India Limited,NSE Equity,NS
CELEBRITY,Celebrity Fashions Limited,NSE Equity,NS
CELLO,Cello World Limited,NSE Equity,NS
CEMPRO,Cemindia Projects Limited,NSE Equity,NS
CENTENKA,Century Enka Limited,NSE Equity,NS
CENTEXT,Century Extrusions Limited,NSE Equity,NS
CENTRALBK,Central Bank of India,NSE Equity,NS
CENTRUM,Centrum Capital Limited,NSE Equity,NS
CENTUM,Centum Electronics Limited,NSE Equity,NS
CENTURYPLY,Century Plyboards (India) Limited,NSE Equity,NS
CERA,Cera Sanitaryware Limited,NSE Equity,NS
CEREBRAINT,Cerebra Integrated Technologies Limited,NSE Equity,NS
CESC,CESC Limited,NSE Equity,NS
CEWATER,Concord Enviro Systems Limited,NSE Equity,NS
CGCL,Capri Global Capital Limited,NSE Equity,NS
CGPOWER,CG Power and Industrial Solutions Limited,NSE Equity,NS
CHALET,Chalet Hotels Limited,NSE Equity,NS
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,NSE Equity,NS
CHEMBOND,Chembond Material Technologies Limited,NSE Equity,NS
CHEMBONDCH,Chembond Chemicals Limited,NSE Equity,NS
CHEMCON,Chemcon Speciality Chemicals Limited,NSE Equity,NS
CHEMFAB,Chemfab Alkalis Limited,NSE Equity,NS
CHEMPLASTS,Chemplast Sanmar Limited,NSE Equity,NS
CHENNPETRO,Chennai Petroleum Corporation Limited,NSE Equity,NS
CHEVIOT,Cheviot Company Limited,NSE Equity,NS
CHOICEIN,Choice International Limited,NSE Equity,NS
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,NSE Equity,NS
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,NSE Equity,NS
CIEINDIA,CIE Automotive India Limited,NSE Equity,NS
CIFL,Capital India Finance Limited,NSE Equity,NS
CIGNITITEC,Cigniti Technologies Limited,NSE Equity,NS
CINELINE,Cineline India Limited,NSE Equity,NS
CINEVISTA,Cinevista Limited,NSE Equity,NS
CIPLA,Cipla Limited,NSE Equity,NS
CLEAN,Clean Science and Technology Limited,NSE Equity,NS
CLEDUCATE,CL Educate Limited,NSE Equity,NS
CLSEL,Chaman Lal Setia Exports Limited,NSE Equity,NS
CMICABLES,CMI Limited,NSE Equity,NS
CMSINFO,CMS Info Systems Limited,NSE Equity,NS
CNL,Creative Newtech Limited,NSE Equity,NS
COALINDIA,Coal India Limited,NSE Equity,NS
COASTCORP,Coastal Corporation Limited,NSE Equity,NS
COCHINSHIP,Cochin Shipyard Limited,NSE Equity,NS
COFFEEDAY,Coffee Day Enterprises Limited,NSE Equity,NS
COFORGE,Coforge Limited,NSE Equity,NS
COHANCE,Cohance Lifesciences Limited,NSE Equity,NS
COLPAL,Colgate Palmolive (India) Limited,NSE Equity,NS
COMPINFO,Compuage Infocom Limited,NSE Equity,NS
COMPUSOFT,Compucom Software Limited,NSE Equity,NS
COMSYN,Commercial Syn Bags Limited,NSE Equity,NS
CONCOR,Container Corporation of India Limited,NSE Equity,NS
CONCORDBIO,Concord Biotech Limited,NSE Equity,NS
CONFIPET,Confidence Petroleum India Limited,NSE Equity,NS
CONSOFINVT,Consolidated Finvest & Holdings Limited,NSE Equity,NS
CONTROLPR,Control Print Limited,NSE Equity,NS
CORALFINAC,Coral India Finance & Housing Limited,NSE Equity,NS
CORDSCABLE,Cords Cable Industries Limited,NSE Equity,NS
COROMANDEL,Coromandel International Limited,NSE Equity,NS
CORONA,CORONA Remedies Limited,NSE Equity,NS
COSMOFIRST,COSMO FIRST LIMITED,NSE Equity,NS
COUNCODOS,Country Condo's Limited,NSE Equity,NS
CPCAP,CP Capital Limited,NSE Equity,NS
CPEDU,Career Point Edutech Limited,NSE Equity,NS
CPPLUS,Aditya Infotech Limited,NSE Equity,NS
CRAFTSMAN,Craftsman Automation Limited,NSE Equity,NS
CRAMC,Canara Robeco Asset Management Company Limited,NSE Equity,NS
CREATIVEYE,Creative Eye Limited,NSE Equity,NS
CREDITACC,CREDITACCESS GRAMEEN LIMITED,NSE Equity,NS
CREST,Crest Ventures Limited,NSE Equity,NS
CRISIL,CRISIL Limited,NSE Equity,NS
CRIZAC,Crizac Limited,NSE Equity,NS
CROMPTON,Crompton Greaves Consumer Electricals Limited,NSE Equity,NS
CROWN,Crown Lifters Limited,NSE Equity,NS
CSBBANK,CSB Bank Limited,NSE Equity,NS
CSLFINANCE,CSL Finance Limited,NSE Equity,NS
CTE,Cambridge Technology Enterprises Limited,NSE Equity,NS
CUB,City Union Bank Limited,NSE Equity,NS
CUBEXTUB,Cubex Tubings Limited,NSE Equity,NS
CUMMINSIND,Cummins India Limited,NSE Equity,NS
CUPID,Cupid Limited,NSE Equity,NS
CURAA,Cura Technologies Limited,NSE Equity,NS
CYBERMEDIA,Cyber Media (India) Limited,NSE Equity,NS
CYBERTECH,Cybertech Systems And Software Limited,NSE Equity,NS
CYIENT,Cyient Limited,NSE Equity,NS
CYIENTDLM,Cyient DLM Limited,NSE Equity,NS
DABUR,Dabur India Limited,NSE Equity,NS
DALBHARAT,Dalmia Bharat Limited,NSE Equity,NS
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,NSE Equity,NS
DAMCAPITAL,Dam Capital Advisors Limited,NSE Equity,NS
DAMODARIND,Damodar Industries Limited,NSE Equity,NS
DANGEE,Dangee Dums Limited,NSE Equity,NS
